"Sex_stan","State_code_stan","Year_stan","Age_bin_idx","Sex","State","Year","Age","Cases","Pop"
1,1,1,1,"F","Acre",2014,"<1",0,8401
2,1,1,1,"M","Acre",2014,"<1",0,8796
1,2,1,1,"F","Alagoas",2014,"<1",0,25867
2,2,1,1,"M","Alagoas",2014,"<1",0,27090
1,3,1,1,"F","Amapá",2014,"<1",2,7979
2,3,1,1,"M","Amapá",2014,"<1",1,8369
1,4,1,1,"F","Amazonas",2014,"<1",0,40887
2,4,1,1,"M","Amazonas",2014,"<1",0,42781
1,5,1,1,"F","Bahia",2014,"<1",0,100393
2,5,1,1,"M","Bahia",2014,"<1",0,105188
1,6,1,1,"F","Ceará",2014,"<1",0,62687
2,6,1,1,"M","Ceará",2014,"<1",0,65648
1,7,1,1,"F","Distrito Federal",2014,"<1",0,20879
2,7,1,1,"M","Distrito Federal",2014,"<1",0,21907
1,8,1,1,"F","Espírito Santo",2014,"<1",0,27813
2,8,1,1,"M","Espírito Santo",2014,"<1",0,29117
1,9,1,1,"F","Goiás",2014,"<1",0,48350
2,9,1,1,"M","Goiás",2014,"<1",0,50632
1,10,1,1,"F","Maranhão",2014,"<1",0,57913
2,10,1,1,"M","Maranhão",2014,"<1",0,60537
1,11,1,1,"F","Mato Grosso",2014,"<1",0,27233
2,11,1,1,"M","Mato Grosso",2014,"<1",0,28513
1,12,1,1,"F","Mato Grosso do Sul",2014,"<1",0,21256
2,12,1,1,"M","Mato Grosso do Sul",2014,"<1",0,22268
1,13,1,1,"F","Minas Gerais",2014,"<1",0,129623
2,13,1,1,"M","Minas Gerais",2014,"<1",0,135906
1,14,1,1,"F","Pará",2014,"<1",0,71657
2,14,1,1,"M","Pará",2014,"<1",0,74928
1,15,1,1,"F","Paraíba",2014,"<1",0,27286
2,15,1,1,"M","Paraíba",2014,"<1",0,28645
1,16,1,1,"F","Paraná",2014,"<1",0,77244
2,16,1,1,"M","Paraná",2014,"<1",0,80959
1,17,1,1,"F","Pernambuco",2014,"<1",0,69331
2,17,1,1,"M","Pernambuco",2014,"<1",0,72569
