"variable","med","lwr","upr","Sex","State_code_stan","Year","Age_bin_idx","Age"
"Rg[1,1,1,1]",0.0213338,0.00276466375,0.048678265,"F",1,2014,2,"1-4"
"Rg[2,1,1,1]",0.0213338,0.00276466375,0.048678265,"M",1,2014,2,"1-4"
"Rg[1,2,1,1]",0.001684095,0.00037247305,0.0051043555,"F",2,2014,2,"1-4"
"Rg[2,2,1,1]",0.001684095,0.00037247305,0.0051043555,"M",2,2014,2,"1-4"
"Rg[1,3,1,1]",0.116078,0.0948005475,0.14326575,"F",3,2014,2,"1-4"
"Rg[2,3,1,1]",0.116078,0.0948005475,0.14326575,"M",3,2014,2,"1-4"
"Rg[1,4,1,1]",0.00903514,0.004212468,0.01812959,"F",4,2014,2,"1-4"
"Rg[2,4,1,1]",0.00903514,0.004212468,0.01812959,"M",4,2014,2,"1-4"
"Rg[1,5,1,1]",0.0198809,0.01758787,0.022309905,"F",5,2014,2,"1-4"
"Rg[2,5,1,1]",0.0198809,0.01758787,0.022309905,"M",5,2014,2,"1-4"
"Rg[1,6,1,1]",0.00838257,0.00538855975,0.0129309175,"F",6,2014,2,"1-4"
"Rg[2,6,1,1]",0.00838257,0.00538855975,0.0129309175,"M",6,2014,2,"1-4"
"Rg[1,7,1,1]",0.006279,0.0022564965,0.0132240375,"F",7,2014,2,"1-4"
"Rg[2,7,1,1]",0.006279,0.0022564965,0.0132240375,"M",7,2014,2,"1-4"
"Rg[1,8,1,1]",0.00150522,0.000366601225,0.00455122275,"F",8,2014,2,"1-4"
"Rg[2,8,1,1]",0.00150522,0.000366601225,0.00455122275,"M",8,2014,2,"1-4"
"Rg[1,9,1,1]",0.005066245,0.00235671775,0.010248185,"F",9,2014,2,"1-4"
"Rg[2,9,1,1]",0.005066245,0.00235671775,0.010248185,"M",9,2014,2,"1-4"
"Rg[1,10,1,1]",0.001108615,0.000291873625,0.0032676545,"F",10,2014,2,"1-4"
"Rg[2,10,1,1]",0.001108615,0.000291873625,0.0032676545,"M",10,2014,2,"1-4"
"Rg[1,11,1,1]",0.00248723,0.000617969825,0.00690105449999999,"F",11,2014,2,"1-4"
"Rg[2,11,1,1]",0.00248723,0.000617969825,0.00690105449999999,"M",11,2014,2,"1-4"
"Rg[1,12,1,1]",0.001772605,0.000394748175,0.00537598099999999,"F",12,2014,2,"1-4"
"Rg[2,12,1,1]",0.001772605,0.000394748175,0.00537598099999999,"M",12,2014,2,"1-4"
"Rg[1,13,1,1]",0.002103315,0.001073737,0.00366583925,"F",13,2014,2,"1-4"
"Rg[2,13,1,1]",0.002103315,0.001073737,0.00366583925,"M",13,2014,2,"1-4"
"Rg[1,14,1,1]",0.005806255,0.00295409225,0.010509385,"F",14,2014,2,"1-4"
"Rg[2,14,1,1]",0.005806255,0.00295409225,0.010509385,"M",14,2014,2,"1-4"
"Rg[1,15,1,1]",0.00150422,0.00037706875,0.00483172199999999,"F",15,2014,2,"1-4"
"Rg[2,15,1,1]",0.00150422,0.00037706875,0.00483172199999999,"M",15,2014,2,"1-4"
"Rg[1,16,1,1]",0.00216699,0.0009195483,0.00451628425,"F",16,2014,2,"1-4"
"Rg[2,16,1,1]",0.00216699,0.0009195483,0.00451628425,"M",16,2014,2,"1-4"
"Rg[1,17,1,1]",0.00215386,0.000797647875,0.00467929699999999,"F",17,2014,2,"1-4"
"Rg[2,17,1,1]",0.00215386,0.000797647875,0.00467929699999999,"M",17,2014,2,"1-4"
"Rg[1,18,1,1]",0.001577965,0.000435145175,0.00521414599999999,"F",18,2014,2,"1-4"
"Rg[2,18,1,1]",0.001577965,0.000435145175,0.00521414599999999,"M",18,2014,2,"1-4"
