"Sex","Age_bin_idx",".chain",".iteration",".draw","variable","value"
"F",2,1,1,1,"logit_rho",-3.78403
"F",2,1,2,2,"logit_rho",-3.64493
"F",2,1,3,3,"logit_rho",-3.70381
"F",2,1,4,4,"logit_rho",-3.69939
"F",2,1,5,5,"logit_rho",-3.77833
"F",2,1,6,6,"logit_rho",-3.66625
"F",2,1,7,7,"logit_rho",-3.41624
"F",2,1,8,8,"logit_rho",-3.38158
"F",2,1,9,9,"logit_rho",-3.57423
"F",2,1,10,10,"logit_rho",-3.67644
"F",2,1,11,11,"logit_rho",-3.74765
"F",2,1,12,12,"logit_rho",-3.57717
"F",2,1,13,13,"logit_rho",-3.5262
"F",2,1,14,14,"logit_rho",-3.4736
"F",2,1,15,15,"logit_rho",-3.62249
"F",2,1,16,16,"logit_rho",-3.42425
"F",2,1,17,17,"logit_rho",-3.46518
"F",2,1,18,18,"logit_rho",-3.94241
"F",2,1,19,19,"logit_rho",-3.83932
"F",2,1,20,20,"logit_rho",-3.5459
"F",2,1,21,21,"logit_rho",-3.59215
"F",2,1,22,22,"logit_rho",-3.56894
"F",2,1,23,23,"logit_rho",-3.68477
"F",2,1,24,24,"logit_rho",-3.57518
"F",2,1,25,25,"logit_rho",-3.92028
"F",2,1,26,26,"logit_rho",-3.96474
"F",2,1,27,27,"logit_rho",-3.68125
"F",2,1,28,28,"logit_rho",-3.44543
"F",2,1,29,29,"logit_rho",-3.4297
"F",2,1,30,30,"logit_rho",-3.28452
"F",2,1,31,31,"logit_rho",-3.41241
"F",2,1,32,32,"logit_rho",-3.28087
"F",2,1,33,33,"logit_rho",-3.53318
"F",2,1,34,34,"logit_rho",-3.5183
"F",2,1,35,35,"logit_rho",-3.42097
"F",2,1,36,36,"logit_rho",-3.70466
"F",2,1,37,37,"logit_rho",-3.69264
"F",2,1,38,38,"logit_rho",-3.70198
"F",2,1,39,39,"logit_rho",-3.64019
"F",2,1,40,40,"logit_rho",-3.21455
"F",2,1,41,41,"logit_rho",-2.68744
"F",2,1,42,42,"logit_rho",-3.02671
"F",2,1,43,43,"logit_rho",-3.23347
"F",2,1,44,44,"logit_rho",-3.06505
"F",2,1,45,45,"logit_rho",-3.4501
"F",2,1,46,46,"logit_rho",-3.49069
"F",2,1,47,47,"logit_rho",-3.34227
"F",2,1,48,48,"logit_rho",-3.81171
"F",2,1,49,49,"logit_rho",-3.47278
"F",2,1,50,50,"logit_rho",-3.60591
"F",2,1,51,51,"logit_rho",-3.45876
"F",2,1,52,52,"logit_rho",-3.61876
"F",2,1,53,53,"logit_rho",-3.58341
"F",2,1,54,54,"logit_rho",-3.61412
"F",2,1,55,55,"logit_rho",-3.58998
"F",2,1,56,56,"logit_rho",-3.61655
"F",2,1,57,57,"logit_rho",-3.60557
"F",2,1,58,58,"logit_rho",-3.74197
"F",2,1,59,59,"logit_rho",-3.70556
"F",2,1,60,60,"logit_rho",-3.78411
"F",2,1,61,61,"logit_rho",-3.76152
"F",2,1,62,62,"logit_rho",-3.76501
"F",2,1,63,63,"logit_rho",-3.8868
"F",2,1,64,64,"logit_rho",-3.83134
"F",2,1,65,65,"logit_rho",-3.77143
"F",2,1,66,66,"logit_rho",-3.82068
"F",2,1,67,67,"logit_rho",-3.33746
"F",2,1,68,68,"logit_rho",-3.62244
"F",2,1,69,69,"logit_rho",-3.58589
"F",2,1,70,70,"logit_rho",-3.71355
"F",2,1,71,71,"logit_rho",-3.768
"F",2,1,72,72,"logit_rho",-3.32307
"F",2,1,73,73,"logit_rho",-3.74604
"F",2,1,74,74,"logit_rho",-3.43252
"F",2,1,75,75,"logit_rho",-3.46371
"F",2,1,76,76,"logit_rho",-3.04117
"F",2,1,77,77,"logit_rho",-2.87556
"F",2,1,78,78,"logit_rho",-3.41992
"F",2,1,79,79,"logit_rho",-3.40219
"F",2,1,80,80,"logit_rho",-3.6874
"F",2,1,81,81,"logit_rho",-3.45875
"F",2,1,82,82,"logit_rho",-3.3865
"F",2,1,83,83,"logit_rho",-3.20025
"F",2,1,84,84,"logit_rho",-3.16046
"F",2,1,85,85,"logit_rho",-3.25272
"F",2,1,86,86,"logit_rho",-3.20455
"F",2,1,87,87,"logit_rho",-3.11028
"F",2,1,88,88,"logit_rho",-2.8246
"F",2,1,89,89,"logit_rho",-3.81401
"F",2,1,90,90,"logit_rho",-3.76744
"F",2,1,91,91,"logit_rho",-3.68587
"F",2,1,92,92,"logit_rho",-3.68254
"F",2,1,93,93,"logit_rho",-3.79046
"F",2,1,94,94,"logit_rho",-3.41758
"F",2,1,95,95,"logit_rho",-3.11849
"F",2,1,96,96,"logit_rho",-3.27743
"F",2,1,97,97,"logit_rho",-3.10067
"F",2,1,98,98,"logit_rho",-2.89331
"F",2,1,99,99,"logit_rho",-3.34149
"F",2,1,100,100,"logit_rho",-3.29642
"F",2,1,101,101,"logit_rho",-3.37334
"F",2,1,102,102,"logit_rho",-3.52338
"F",2,1,103,103,"logit_rho",-3.67704
