"Year",".chain",".iteration",".draw","variable","value"
2014,1,1,1,"logit_rho_t",-5.167
2014,1,2,2,"logit_rho_t",-5.3692
2014,1,3,3,"logit_rho_t",-5.37484
2014,1,4,4,"logit_rho_t",-5.44177
2014,1,5,5,"logit_rho_t",-5.26776
2014,1,6,6,"logit_rho_t",-5.32104
2014,1,7,7,"logit_rho_t",-5.68882
2014,1,8,8,"logit_rho_t",-5.67612
2014,1,9,9,"logit_rho_t",-5.7805
2014,1,10,10,"logit_rho_t",-5.21238
2014,1,11,11,"logit_rho_t",-5.24396
2014,1,12,12,"logit_rho_t",-5.2637
2014,1,13,13,"logit_rho_t",-5.46554
2014,1,14,14,"logit_rho_t",-5.58491
2014,1,15,15,"logit_rho_t",-5.68896
2014,1,16,16,"logit_rho_t",-5.53901
2014,1,17,17,"logit_rho_t",-5.697
2014,1,18,18,"logit_rho_t",-4.97153
2014,1,19,19,"logit_rho_t",-5.17817
2014,1,20,20,"logit_rho_t",-5.62444
2014,1,21,21,"logit_rho_t",-5.53555
2014,1,22,22,"logit_rho_t",-5.26066
2014,1,23,23,"logit_rho_t",-5.4474
2014,1,24,24,"logit_rho_t",-5.4379
2014,1,25,25,"logit_rho_t",-5.20088
2014,1,26,26,"logit_rho_t",-5.00663
2014,1,27,27,"logit_rho_t",-5.31719
2014,1,28,28,"logit_rho_t",-5.49198
2014,1,29,29,"logit_rho_t",-5.65044
2014,1,30,30,"logit_rho_t",-5.64219
2014,1,31,31,"logit_rho_t",-5.83268
2014,1,32,32,"logit_rho_t",-5.73676
2014,1,33,33,"logit_rho_t",-5.2894
2014,1,34,34,"logit_rho_t",-5.48536
2014,1,35,35,"logit_rho_t",-5.61543
2014,1,36,36,"logit_rho_t",-5.59807
2014,1,37,37,"logit_rho_t",-5.3075
2014,1,38,38,"logit_rho_t",-5.39784
2014,1,39,39,"logit_rho_t",-5.71074
2014,1,40,40,"logit_rho_t",-5.89444
2014,1,41,41,"logit_rho_t",-6.11625
2014,1,42,42,"logit_rho_t",-5.76082
2014,1,43,43,"logit_rho_t",-6.00719
2014,1,44,44,"logit_rho_t",-5.8036
2014,1,45,45,"logit_rho_t",-5.65654
2014,1,46,46,"logit_rho_t",-5.29783
2014,1,47,47,"logit_rho_t",-5.70652
2014,1,48,48,"logit_rho_t",-5.27494
2014,1,49,49,"logit_rho_t",-5.71304
2014,1,50,50,"logit_rho_t",-5.49499
2014,1,51,51,"logit_rho_t",-5.72817
2014,1,52,52,"logit_rho_t",-5.5312
2014,1,53,53,"logit_rho_t",-5.56441
2014,1,54,54,"logit_rho_t",-5.43993
2014,1,55,55,"logit_rho_t",-5.57841
2014,1,56,56,"logit_rho_t",-5.46679
2014,1,57,57,"logit_rho_t",-5.4442
2014,1,58,58,"logit_rho_t",-5.22635
2014,1,59,59,"logit_rho_t",-5.27139
2014,1,60,60,"logit_rho_t",-5.06474
2014,1,61,61,"logit_rho_t",-5.15627
2014,1,62,62,"logit_rho_t",-5.10122
2014,1,63,63,"logit_rho_t",-5.07692
2014,1,64,64,"logit_rho_t",-5.35419
2014,1,65,65,"logit_rho_t",-5.17305
2014,1,66,66,"logit_rho_t",-5.11889
2014,1,67,67,"logit_rho_t",-5.69414
2014,1,68,68,"logit_rho_t",-5.54792
2014,1,69,69,"logit_rho_t",-5.58581
2014,1,70,70,"logit_rho_t",-5.35801
2014,1,71,71,"logit_rho_t",-5.2898
2014,1,72,72,"logit_rho_t",-5.78135
2014,1,73,73,"logit_rho_t",-5.33117
2014,1,74,74,"logit_rho_t",-5.8427
