"Age_bin_idx","Age","med","lwr","upr"
2,"1-4",8.32046e-06,5.24836225e-06,1.232127e-05
3,"5-10",4.107435e-06,2.489823e-06,6.615879e-06
4,"11-15",9.318775e-06,6.25664875e-06,1.307231e-05
5,"16-20",7.47955e-06,5.00373e-06,1.0585545e-05
6,"21-25",1.058415e-05,7.5415075e-06,1.426695e-05
7,"26-30",8.90942e-06,6.2922725e-06,1.24229625e-05
8,"31-35",8.07113e-06,5.372226e-06,1.1379975e-05
9,"36-40",1.82065e-05,1.387099e-05,2.3631875e-05
10,"41-45",2.07396e-05,1.571492e-05,2.707831e-05
11,"46-50",1.64921e-05,1.19707875e-05,2.16882025e-05
12,"51-55",2.916505e-05,2.264588e-05,3.67204725e-05
13,"56-60",4.764515e-05,3.8538305e-05,5.84075725e-05
14,"61-65",6.365665e-05,5.13687725e-05,7.77180625e-05
15,"66-70",0.0001134505,9.541509e-05,0.000134160725
16,"70+",0.000428969,0.000394986525,0.000464386925
