"med","lwr","upr","Sex","Age_bin_idx","Age","Type"
9.12082771292618e-06,5.0309461004443e-06,1.50180912539491e-05,"F",2,"1-4","Model"
7.21931850069543e-06,3.5617003525752e-06,1.27909521533972e-05,"M",2,"1-4","Model"
4.3614761124489e-06,1.9663579158223e-06,8.00035213802535e-06,"F",3,"5-10","Model"
3.71214752909728e-06,1.63790511755788e-06,7.00870577148245e-06,"M",3,"5-10","Model"
6.30290449409567e-06,3.10030519908948e-06,1.07841294496949e-05,"F",4,"11-15","Model"
1.19814612331261e-05,7.48973231544274e-06,1.81902467569226e-05,"M",4,"11-15","Model"
9.17847031104894e-06,5.29410034427065e-06,1.47423316279268e-05,"F",5,"16-20","Model"
5.63507556851944e-06,2.90113070118955e-06,9.87136417286664e-06,"M",5,"16-20","Model"
1.13380072797031e-05,7.13650426674754e-06,1.71909495772364e-05,"F",6,"21-25","Model"
9.70033632864352e-06,5.9534778295358e-06,1.47166286915702e-05,"M",6,"21-25","Model"
1.23290782533713e-05,7.59511713035929e-06,1.85230899261174e-05,"F",7,"26-30","Model"
5.19455290332129e-06,2.59211866311339e-06,9.26967257442559e-06,"M",7,"26-30","Model"
5.81773236588729e-06,3.08319241313688e-06,1.02348448268165e-05,"F",8,"31-35","Model"
1.0141749907362e-05,6.04487350303405e-06,1.55992534597205e-05,"M",8,"31-35","Model"
1.95252901873636e-05,1.36929083203888e-05,2.73832923172138e-05,"F",9,"36-40","Model"
1.66341956921398e-05,1.10933747190804e-05,2.41609588061524e-05,"M",9,"36-40","Model"
1.81135550896046e-05,1.22207528267669e-05,2.60750927509592e-05,"F",10,"41-45","Model"
2.32536139337359e-05,1.62997628391957e-05,3.2914574643666e-05,"M",10,"41-45","Model"
1.33753111754317e-05,8.1621128076237e-06,2.08660942711003e-05,"F",11,"46-50","Model"
1.95663363801751e-05,1.25845271825916e-05,2.79416402416887e-05,"M",11,"46-50","Model"
3.08985901906339e-05,2.19359218014651e-05,4.27226001598293e-05,"F",12,"51-55","Model"
2.69009219152869e-05,1.79611853109323e-05,3.87613283644626e-05,"M",12,"51-55","Model"
4.04254912678422e-05,2.94409204295981e-05,5.44997877934947e-05,"F",13,"56-60","Model"
5.53394235597303e-05,4.07383764278793e-05,7.13535471850277e-05,"M",13,"56-60","Model"
5.91641366190131e-05,4.35834747042697e-05,7.83073570195654e-05,"F",14,"61-65","Model"
6.80396455422304e-05,5.04696319545248e-05,9.00090128383155e-05,"M",14,"61-65","Model"
9.03246640756785e-05,6.93166271869173e-05,0.000113451741100834,"F",15,"66-70","Model"
0.000141143281880705,0.000112647199678147,0.000173811226996713,"M",15,"66-70","Model"
0.00035314917437488,0.000316937171782559,0.000392211920787196,"F",16,"70+","Model"
0.00053520537833224,0.000485133838221267,0.000588383712864467,"M",16,"70+","Model"
9.39005305375648e-05,3.09248831396829e-05,0.000100265348683431,"F",1,"<1","Post-hoc"
8.06396990759056e-05,2.65583151899322e-05,8.61118266639801e-05,"M",1,"<1","Post-hoc"
