"Age_bin_idx","Age","med","lwr","upr"
2,"1-4",0.00546291,0.00504523175,0.0058961055
3,"5-10",0.00670806,0.00627984225,0.00715145575
4,"11-15",0.00777161,0.007261396,0.00827878375
5,"16-20",0.007940335,0.00741814675,0.00848696025
6,"21-25",0.00926964,0.00865976225,0.00988945375
7,"26-30",0.01081475,0.0100354675,0.011562295
8,"31-35",0.0117189,0.01099718,0.012478905
9,"36-40",0.01285215,0.0119917575,0.0137660225
10,"41-45",0.01407355,0.0131367175,0.015005005
11,"46-50",0.01516465,0.0141963475,0.0162807325
12,"51-55",0.01589215,0.0147913975,0.017056885
13,"56-60",0.01658365,0.015426395,0.0177574825
14,"61-65",0.0168176,0.01567863,0.017970205
15,"66-70",0.0156901,0.01453036,0.016800045
16,"70+",0.0128247,0.0119592975,0.0137787875
