"variable","med","lwr","upr","Sex","Age_bin_idx","Age","Type"
"mean_rho_sa[1,1]",0.00549814,0.0049932185,0.006035525,"F",2,"1-4","Model"
"mean_rho_sa[2,1]",0.005436305,0.00493305675,0.00596572225,"M",2,"1-4","Model"
"mean_rho_sa[1,2]",0.006989345,0.006428464,0.00755637525,"F",3,"5-10","Model"
"mean_rho_sa[2,2]",0.006438165,0.0059507225,0.0070152905,"M",3,"5-10","Model"
"mean_rho_sa[1,3]",0.00799439,0.00736718725,0.00863921875,"F",4,"11-15","Model"
"mean_rho_sa[2,3]",0.007531235,0.0069717345,0.0081796845,"M",4,"11-15","Model"
"mean_rho_sa[1,4]",0.0105167,0.00974604925,0.0113951025,"F",5,"16-20","Model"
"mean_rho_sa[2,4]",0.00542778,0.005016003,0.00589452375,"M",5,"16-20","Model"
"mean_rho_sa[1,5]",0.0128181,0.0118498225,0.01382747,"F",6,"21-25","Model"
"mean_rho_sa[2,5]",0.00572155,0.005267302,0.00625568625,"M",6,"21-25","Model"
"mean_rho_sa[1,6]",0.01521825,0.0140298825,0.016436875,"F",7,"26-30","Model"
"mean_rho_sa[2,6]",0.00627656,0.00577542675,0.0068212885,"M",7,"26-30","Model"
"mean_rho_sa[1,7]",0.0162648,0.015101625,0.0174616825,"F",8,"31-35","Model"
"mean_rho_sa[2,7]",0.006970665,0.0064319255,0.00755581425,"M",8,"31-35","Model"
"mean_rho_sa[1,8]",0.0175672,0.0162351425,0.0190387725,"F",9,"36-40","Model"
"mean_rho_sa[2,8]",0.00784504,0.0072111205,0.00855564075,"M",9,"36-40","Model"
"mean_rho_sa[1,9]",0.01876325,0.0173122225,0.02026671,"F",10,"41-45","Model"
"mean_rho_sa[2,9]",0.00902665,0.00833259175,0.009797445,"M",10,"41-45","Model"
"mean_rho_sa[1,10]",0.0202503,0.01869636,0.0220079625,"F",11,"46-50","Model"
"mean_rho_sa[2,10]",0.009604445,0.008823805,0.01047896,"M",11,"46-50","Model"
"mean_rho_sa[1,11]",0.0210474,0.019447855,0.02295705,"F",12,"51-55","Model"
"mean_rho_sa[2,11]",0.01011245,0.00925686775,0.0110232925,"M",12,"51-55","Model"
"mean_rho_sa[1,12]",0.0212088,0.0195430475,0.0229282175,"F",13,"56-60","Model"
"mean_rho_sa[2,12]",0.01126315,0.0103727375,0.0122597025,"M",13,"56-60","Model"
"mean_rho_sa[1,13]",0.02014665,0.0185355025,0.021917365,"F",14,"61-65","Model"
"mean_rho_sa[2,13]",0.01279165,0.011723775,0.01396847,"M",14,"61-65","Model"
"mean_rho_sa[1,14]",0.0181838,0.016655345,0.019672445,"F",15,"66-70","Model"
"mean_rho_sa[2,14]",0.01259515,0.01151856,0.013847855,"M",15,"66-70","Model"
"mean_rho_sa[1,15]",0.0134752,0.0123603225,0.0147107975,"F",16,"70+","Model"
"mean_rho_sa[2,15]",0.01185865,0.0109073825,0.0129702775,"M",16,"70+","Model"
NA,0.00721092851214861,0.00682969023148942,0.00754937645622631,"F",1,"<1","Post-hoc"
NA,0.00607666253653501,0.00575535653194486,0.00636217150635881,"M",1,"<1","Post-hoc"
