"variable","med","lwr","upr","Sex","State_code_stan","Year","Age_bin_idx","Age"
"pLabCases[1,1,1,1]",0.0791628,0.0107656275,0.182017325,"F",1,2014,2,"1-4"
"pLabCases[2,1,1,1]",0.08212705,0.011230665,0.1920157,"M",1,2014,2,"1-4"
"pLabCases[1,2,1,1]",0.01944805,0.00479723425,0.06296458,"F",2,2014,2,"1-4"
"pLabCases[2,2,1,1]",0.02005115,0.004958453,0.0633620874999998,"M",2,2014,2,"1-4"
"pLabCases[1,3,1,1]",0.4038255,0.29970355,0.533027075,"F",3,2014,2,"1-4"
"pLabCases[2,3,1,1]",0.418051,0.31159215,0.556456825,"M",3,2014,2,"1-4"
"pLabCases[1,4,1,1]",0.1599305,0.0764463225,0.306287075,"F",4,2014,2,"1-4"
"pLabCases[2,4,1,1]",0.165771,0.0798982225,0.3141625,"M",4,2014,2,"1-4"
"pLabCases[1,5,1,1]",0.9298145,0.7088658,1.19671475,"F",5,2014,2,"1-4"
"pLabCases[2,5,1,1]",0.958499,0.74025115,1.24208375,"M",5,2014,2,"1-4"
"pLabCases[1,6,1,1]",0.23994,0.1499828,0.366529825,"F",6,2014,2,"1-4"
"pLabCases[2,6,1,1]",0.2473985,0.158446925,0.373376825,"M",6,2014,2,"1-4"
"pLabCases[1,7,1,1]",0.05336455,0.0187590525,0.1089381,"F",7,2014,2,"1-4"
"pLabCases[2,7,1,1]",0.05544215,0.0199191575,0.114558425,"M",7,2014,2,"1-4"
"pLabCases[1,8,1,1]",0.01811015,0.00434258025,0.054183895,"F",8,2014,2,"1-4"
"pLabCases[2,8,1,1]",0.01875155,0.0044360865,0.0557363874999999,"M",8,2014,2,"1-4"
"pLabCases[1,9,1,1]",0.108958,0.05202172,0.209846075,"F",9,2014,2,"1-4"
"pLabCases[2,9,1,1]",0.112174,0.0526627775,0.21776265,"M",9,2014,2,"1-4"
"pLabCases[1,10,1,1]",0.02921365,0.0079987455,0.08888968,"F",10,2014,2,"1-4"
"pLabCases[2,10,1,1]",0.03037945,0.0086570425,0.090334785,"M",10,2014,2,"1-4"
"pLabCases[1,11,1,1]",0.0283203,0.00713372725,0.0765681049999997,"F",11,2014,2,"1-4"
"pLabCases[2,11,1,1]",0.0296071,0.0072182625,0.08043135,"M",11,2014,2,"1-4"
"pLabCases[1,12,1,1]",0.01625645,0.00360787125,0.050465555,"F",12,2014,2,"1-4"
"pLabCases[2,12,1,1]",0.0169584,0.00385082675,0.0518350149999999,"M",12,2014,2,"1-4"
"pLabCases[1,13,1,1]",0.120077,0.0648953425,0.210853525,"F",13,2014,2,"1-4"
"pLabCases[2,13,1,1]",0.12399,0.066016265,0.2138517,"M",13,2014,2,"1-4"
"pLabCases[1,14,1,1]",0.1870725,0.1000552425,0.32424105,"F",14,2014,2,"1-4"
"pLabCases[2,14,1,1]",0.1948345,0.103181675,0.335356125,"M",14,2014,2,"1-4"
"pLabCases[1,15,1,1]",0.01821785,0.00463383775,0.0565389499999999,"F",15,2014,2,"1-4"
"pLabCases[2,15,1,1]",0.01894815,0.00481853025,0.0574481624999999,"M",15,2014,2,"1-4"
"pLabCases[1,16,1,1]",0.07228875,0.03120227,0.14594205,"F",16,2014,2,"1-4"
"pLabCases[2,16,1,1]",0.07467605,0.03177706,0.1483229,"M",16,2014,2,"1-4"
"pLabCases[1,17,1,1]",0.06754395,0.0263851575,0.14860995,"F",17,2014,2,"1-4"
"pLabCases[2,17,1,1]",0.06958935,0.0271118275,0.1553303,"M",17,2014,2,"1-4"
"pLabCases[1,18,1,1]",0.0171135,0.004627891,0.0555747525,"F",18,2014,2,"1-4"
"pLabCases[2,18,1,1]",0.0176679,0.004816274,0.0564445774999999,"M",18,2014,2,"1-4"
"pLabCases[1,19,1,1]",0.377033,0.2571939,0.563331975,"F",19,2014,2,"1-4"
"pLabCases[2,19,1,1]",0.3903035,0.268115175,0.5810896,"M",19,2014,2,"1-4"
"pLabCases[1,20,1,1]",0.0171363,0.004099199,0.0521285725,"F",20,2014,2,"1-4"
"pLabCases[2,20,1,1]",0.01751655,0.0042569965,0.053516135,"M",20,2014,2,"1-4"
"pLabCases[1,21,1,1]",0.2002305,0.1220345,0.316919725,"F",21,2014,2,"1-4"
"pLabCases[2,21,1,1]",0.2071855,0.1270761,0.3301043,"M",21,2014,2,"1-4"
"pLabCases[1,22,1,1]",0.02140915,0.00517661525,0.065570185,"F",22,2014,2,"1-4"
"pLabCases[2,22,1,1]",0.02205,0.005256818,0.0669902975,"M",22,2014,2,"1-4"
